StockCode,frequency,monetary,first_date,last_date
20667,16,49.69,01-08-2011 16:07,31-05-2011 11:39
20668,222,1512.92,01-11-2011 14:29,31-10-2011 14:41
20669,102,447.34,01-07-2011 13:02,31-10-2011 14:41
20670,11,44.04,04-07-2011 10:23,30-08-2011 10:39
20671,3,12.5,03-03-2011 16:13,09-12-2010 13:34
20674,209,2024.98,01-02-2011 10:38,31-10-2011 13:22
20675,327,3969.37,01-02-2011 10:38,31-10-2011 14:41
20676,459,6413.56,01-02-2011 10:38,31-10-2011 15:48
20677,340,4743.59,01-02-2011 10:38,31-10-2011 13:22
20678,1,6.6,23-09-2011 14:49,23-09-2011 14:49
20679,330,9967.87,01-02-2011 10:15,31-10-2011 14:41
20681,51,500.46,01-03-2011 12:26,31-01-2011 15:36
20682,248,4125.83,01-03-2011 12:26,31-10-2011 14:09
20684,39,273.81,01-12-2010 14:32,28-06-2011 15:31
20685,707,27621.32,01-02-2011 10:56,31-10-2011 15:24
20686,79,932.42,01-12-2011 12:53,31-10-2011 14:41
20689,1,0,03-03-2011 16:12,03-03-2011 16:12
20694,18,187.54,05-08-2011 15:46,31-10-2011 13:58
20695,4,21.25,08-12-2010 15:17,24-03-2011 13:16
20696,30,230.81,01-12-2010 17:06,31-10-2011 14:41
20697,13,53.55,01-09-2011 14:42,24-05-2011 11:55
20698,9,43.35,01-09-2011 14:42,24-05-2011 11:55
20699,42,266.03,01-12-2010 17:06,27-01-2011 12:49
20700,55,345.17,01-06-2011 17:28,31-05-2011 15:53
20701,20,100.97,05-05-2011 15:42,31-05-2011 15:53
20702,44,577.79,01-02-2011 10:00,30-03-2011 16:41
20703,4,-25.5,02-06-2011 17:30,27-04-2011 14:07
20704,45,669.9,02-12-2011 13:58,31-07-2011 15:50
20705,29,426.9,01-03-2011 10:19,31-10-2011 13:58
20707,150,467.14,01-03-2011 16:22,31-10-2011 14:09
20711,534,10974.31,01-02-2011 16:03,31-10-2011 15:24
20712,878,21665.96,01-02-2011 10:56,31-10-2011 15:24
20713,684,22599.53,01-02-2011 09:38,31-10-2011 15:48
20716,76,469.63,01-06-2011 17:18,31-01-2011 12:16
20717,420,3536.98,01-07-2011 09:51,31-10-2011 14:41
20718,586,6570.05,01-03-2011 14:11,31-10-2011 14:41
20719,858,16672.35,01-02-2011 10:56,31-10-2011 14:41
20723,742,12489.69,01-03-2011 12:01,31-10-2011 14:41
20724,1068,21606.48,01-02-2011 11:31,31-10-2011 16:24
20725,1639,35187.31,01-02-2011 08:31,31-10-2011 14:41
20726,1061,18188.48,01-02-2011 13:10,31-10-2011 15:24
20727,1350,22219.01,01-02-2011 11:31,31-10-2011 14:41
20728,1197,21423.13,01-02-2011 12:22,31-10-2011 14:41
20731,19,109.96,05-05-2011 15:42,30-01-2011 15:48
20733,209,742.06,01-12-2010 14:32,31-10-2011 14:41
20734,30,271.22,03-05-2011 12:38,31-01-2011 10:31
20735,114,625.8,01-06-2011 17:33,31-05-2011 15:53
20738,1,0,28-02-2011 17:04,28-02-2011 17:04
20748,36,751.17,01-08-2011 12:12,29-03-2011 13:28
20749,394,12550.57,01-02-2011 11:51,31-10-2011 14:41
20750,391,12595.23,01-02-2011 13:25,31-10-2011 14:41
20751,226,2106.62,01-02-2011 14:01,31-10-2011 14:41
20752,154,930.95,01-02-2011 14:01,31-05-2011 14:34
20754,310,3088.86,01-02-2011 14:01,31-10-2011 12:02
20755,63,272.02,01-02-2011 11:08,30-11-2011 17:37
20756,23,53.55,06-04-2011 15:22,26-10-2011 13:35
20757,36,144.29,01-02-2011 14:01,31-10-2011 14:09
20758,46,137.7,01-12-2011 13:28,30-03-2011 17:33
20759,21,54.4,02-12-2010 14:09,29-05-2011 12:06
20760,23,58.65,02-12-2010 14:09,26-10-2011 13:35
20761,66,517.22,01-03-2011 17:28,31-07-2011 11:48
20762,56,420.08,01-02-2011 14:01,31-10-2011 14:09
20763,27,205.04,01-03-2011 17:28,27-11-2011 16:08
20764,78,610.81,01-02-2011 11:51,31-10-2011 14:09
20765,61,423.55,01-02-2011 14:01,31-07-2011 13:13
20766,60,501.07,01-02-2011 14:01,31-10-2011 14:09
20767,82,663.71,02-12-2011 16:39,31-08-2011 09:11
20768,56,441.12,01-12-2010 16:57,30-11-2011 17:37
20769,34,217.56,05-07-2011 16:53,31-03-2011 16:28
20770,73,449.8,01-02-2011 15:12,30-03-2011 17:33
20771,41,269.68,04-05-2011 11:12,31-07-2011 13:13
20772,66,618.64,01-12-2010 12:43,31-08-2011 09:11
20773,26,92.4,01-12-2010 12:15,30-01-2011 14:36
20774,49,141.24,01-02-2011 14:01,31-08-2011 15:32
20775,67,235.19,02-11-2011 15:33,31-10-2011 14:41
20777,80,282.49,01-02-2011 14:01,31-10-2011 14:41
20778,10,24.75,01-02-2011 14:01,26-04-2011 13:22
20780,30,318.19,01-12-2010 16:57,25-11-2011 11:20
20781,29,216.16,01-12-2011 13:08,29-03-2011 15:20
20782,28,373.57,01-12-2011 13:08,30-06-2011 15:56
20785,6,523.3,05-01-2011 15:56,24-03-2011 11:18
20793,6,20.25,01-03-2011 13:05,28-02-2011 14:03
20794,30,259.84,01-03-2011 16:22,29-03-2011 14:20
20795,13,100.45,02-12-2011 13:17,28-09-2011 12:33
20796,9,103.94,01-03-2011 17:32,31-10-2011 14:41
20798,7,69,02-12-2010 12:28,28-01-2011 12:06
20801,85,1133.8,01-02-2011 12:25,28-02-2011 16:47
20802,65,964.4,01-05-2011 13:45,31-01-2011 09:09
20803,44,450.16,01-05-2011 13:45,30-03-2011 12:02
20816,3,15.6,08-04-2011 14:22,28-04-2011 19:53
20818,5,42.7,04-05-2011 13:36,28-01-2011 15:29
20819,27,244.72,02-06-2011 14:15,31-10-2011 14:41
20820,3,24.75,01-03-2011 17:28,08-04-2011 15:09
20821,9,24.75,05-04-2011 13:48,30-03-2011 12:04
20823,10,132.72,05-05-2011 09:17,25-05-2011 16:09
20825,1,0,28-04-2011 15:08,28-04-2011 15:08
20826,10,128.4,01-07-2011 14:50,21-04-2011 12:34
20827,3,34.32,19-04-2011 14:49,21-04-2011 12:39
20828,250,3079.88,01-02-2011 11:08,30-10-2011 14:57
20829,206,2519.79,01-02-2011 13:25,31-08-2011 17:02
20830,38,407.73,01-03-2011 16:22,31-05-2011 15:53
20831,39,466.53,01-06-2011 17:18,31-05-2011 14:34
20832,86,581.18,01-02-2011 10:15,28-11-2011 13:56
20835,8,65.8,01-12-2010 14:32,27-10-2011 17:29
20836,18,131.14,02-10-2011 14:47,28-10-2011 12:39
20837,15,142.47,02-10-2011 14:47,30-10-2011 16:12
20838,58,451.25,01-06-2011 17:28,30-06-2011 14:37
20839,106,840.44,01-06-2011 17:28,31-10-2011 14:41
20840,77,622.12,01-06-2011 17:28,31-10-2011 14:41
20845,11,120.65,01-04-2011 10:21,30-01-2011 13:48
20846,90,958.57,01-02-2011 12:25,31-10-2011 14:41
20847,18,217.58,04-03-2011 15:20,28-06-2011 17:28
20848,8,61.95,06-11-2011 14:45,24-10-2011 13:50
20849,1,0,08-12-2010 18:08,08-12-2010 18:08
20850,1,0,29-03-2011 12:17,29-03-2011 12:17
20851,8,53.55,05-05-2011 13:13,30-01-2011 13:48
20854,45,363.22,01-12-2010 14:32,31-01-2011 15:35
20856,63,340.79,01-12-2010 14:32,31-07-2011 13:13
20857,10,28.05,06-01-2011 11:57,29-03-2011 10:22
20860,2,2.1,13-12-2010 16:46,29-03-2011 10:24
20861,2,4.2,06-12-2010 12:55,10-12-2010 11:24
20863,1,0,08-04-2011 11:29,08-04-2011 11:29
20864,1,0,28-01-2011 14:45,28-01-2011 14:45
20866,93,583.75,01-09-2011 16:30,31-10-2011 14:41
20867,63,393.47,01-12-2010 13:51,30-11-2011 14:41
20868,46,219.35,01-11-2011 10:49,30-11-2011 11:17
20869,30,86.76,03-03-2011 09:10,31-08-2011 15:32
20871,1,8.42,14-12-2010 15:52,14-12-2010 15:52
20878,9,31.25,01-12-2010 12:23,09-12-2010 15:56
20886,108,976.48,01-03-2011 15:16,30-01-2011 13:48
20892,6,89.22,04-01-2011 10:16,28-01-2011 14:45
20893,30,535.97,02-09-2011 14:41,30-10-2011 15:55
20894,15,108.71,01-12-2011 08:51,24-02-2011 18:26
20896,1,0,28-04-2011 15:07,28-04-2011 15:07
20897,26,262.87,05-01-2011 11:41,30-08-2011 10:29
20898,16,88.03,01-11-2011 11:32,30-06-2011 15:56
20901,17,78.78,07-06-2011 17:12,29-06-2011 15:58
20902,57,686.86,01-06-2011 17:28,30-06-2011 15:56
20903,57,441.89,01-08-2011 16:07,31-03-2011 16:28
20906,3,8.85,03-04-2011 15:07,08-12-2010 13:23
20910,4,50.8,03-12-2010 14:35,28-01-2011 14:45
20914,937,18089.35,01-02-2011 13:26,31-10-2011 14:41
20931,71,1015.85,01-12-2010 17:06,29-03-2011 15:30
20932,37,599.29,02-09-2011 09:30,28-04-2011 18:11
20933,10,71.05,03-05-2011 12:34,30-11-2011 14:00
20934,37,349.16,01-06-2011 17:33,30-08-2011 10:29
20935,4,17.7,06-11-2011 12:44,23-09-2011 13:48
20936,35,316.71,03-11-2011 16:12,31-07-2011 15:00
20941,23,81.28,01-06-2011 17:42,25-03-2011 11:41
20950,1,0,01-12-2010 14:34,01-12-2010 14:34
20954,3,16.94,17-12-2010 14:54,27-07-2011 13:32
20956,108,1142.77,01-11-2011 09:14,31-10-2011 14:41
20957,1,-1.45,01-12-2010 14:33,01-12-2010 14:33
20960,10,72.49,01-03-2011 09:55,25-01-2011 13:44
20961,232,1686.68,01-02-2011 15:12,31-10-2011 14:41
20963,233,1913.67,01-06-2011 17:18,31-10-2011 14:41
20964,2,5.1,06-05-2011 11:36,09-05-2011 16:48
20966,101,1022.8,01-02-2011 15:12,31-03-2011 14:17
20967,86,1031.69,01-03-2011 08:35,31-03-2011 16:28
20969,311,6256.86,01-03-2011 08:35,31-10-2011 14:41
20970,266,4224.63,01-05-2011 11:10,31-10-2011 15:24
20971,538,11059.33,01-03-2011 08:49,31-10-2011 14:41
20972,633,9129.31,01-02-2011 15:12,31-10-2011 14:41
20973,375,3213.52,01-03-2011 10:19,31-10-2011 14:41
20974,370,4164.08,01-04-2011 11:34,31-08-2011 13:10
20975,378,4309.82,01-02-2011 15:12,31-10-2011 16:24
20977,194,2237.39,01-03-2011 10:19,31-08-2011 15:30
20978,270,2380.05,01-03-2011 08:35,31-10-2011 14:41
20979,345,4529.98,01-03-2011 08:35,31-10-2011 14:41
20980,22,65.66,01-04-2011 11:47,30-01-2011 15:52
20981,256,1726.12,01-05-2011 12:41,31-08-2011 08:55
20982,266,1881.52,01-08-2011 12:56,31-10-2011 14:41
20983,287,2376.51,01-04-2011 13:20,31-10-2011 14:41
20984,183,1166.94,01-03-2011 10:19,31-07-2011 15:25
20985,143,1526.16,01-02-2011 08:31,31-10-2011 14:41
20986,118,833.49,02-11-2011 12:26,31-10-2011 14:09
20992,294,1965.81,01-04-2011 11:50,31-08-2011 14:35
20996,229,727.46,01-02-2011 11:51,31-10-2011 13:48
20997,34,257.61,01-08-2011 10:26,31-10-2011 14:41
20998,70,505.2,01-03-2011 09:35,31-01-2011 09:09
21000,54,365.09,01-02-2011 10:56,31-01-2011 12:14
21001,51,354.14,01-02-2011 10:56,30-11-2011 15:13
21002,66,428.66,01-02-2011 10:56,31-01-2011 12:14
21003,46,460.58,01-06-2011 17:18,31-05-2011 15:49
21009,2,1.25,17-12-2010 17:30,20-12-2010 12:54
21011,4,29,03-12-2010 15:43,21-12-2010 10:35
21012,203,2611.95,01-02-2011 15:12,31-10-2011 14:41
21014,124,598.82,01-12-2010 15:35,31-10-2011 16:24
21015,145,588.97,01-12-2010 17:06,31-10-2011 14:41
21018,8,22.06,01-12-2010 15:35,22-11-2011 12:29
21025,56,233.52,01-12-2011 16:22,30-08-2011 12:16
21026,71,319.5,01-12-2011 16:22,31-10-2011 14:09
21027,47,190.29,01-09-2011 11:22,28-06-2011 10:59
21028,58,239.24,01-09-2011 11:22,31-10-2011 14:09
21030,35,172.2,02-12-2010 15:46,29-05-2011 12:06
21031,20,65.49,02-12-2010 15:46,28-09-2011 16:24
21032,31,119.03,02-12-2010 15:46,30-11-2011 11:48
21033,308,4852.02,01-03-2011 14:14,31-07-2011 11:26
21034,967,1822.1,01-02-2011 11:07,31-10-2011 16:24
21035,403,7999.85,01-02-2011 13:25,31-10-2011 15:24
21038,25,80.85,01-12-2010 13:21,29-03-2011 15:12
21039,92,1323.09,01-02-2011 11:51,31-10-2011 14:09
21040,10,29.7,03-12-2010 15:19,31-03-2011 09:26
21041,266,3900.78,01-02-2011 10:38,31-07-2011 14:19
21042,140,2171.07,01-04-2011 11:50,31-08-2011 09:23
21043,93,1143.76,01-04-2011 09:19,30-03-2011 16:34
21051,54,377.2,03-12-2010 11:36,29-03-2011 10:27
21054,31,634.53,01-03-2011 12:26,28-01-2011 13:37
21055,108,1728.84,01-02-2011 10:47,31-10-2011 14:41
21056,74,1747.5,01-05-2011 12:37,31-10-2011 14:09
21058,128,958.01,01-04-2011 14:58,31-07-2011 13:13
21059,95,518.03,01-02-2011 11:31,31-01-2011 16:02
21060,71,359.29,02-12-2010 10:27,31-10-2011 14:41
21061,83,451.7,01-02-2011 11:31,31-08-2011 09:23
21062,75,458.23,01-09-2011 11:38,30-10-2011 15:43
21063,102,458.31,01-12-2010 11:29,31-07-2011 13:13
21064,107,1301.55,01-12-2011 13:08,31-10-2011 14:41
21065,94,1172.48,01-12-2010 11:45,31-10-2011 14:41
21066,56,679.72,01-12-2011 11:53,30-08-2011 09:36
21067,87,477.27,01-05-2011 11:10,31-03-2011 16:28
21068,202,1844.67,01-02-2011 15:12,31-01-2011 13:27
21069,89,1508.71,01-02-2011 13:26,31-03-2011 16:43
21070,109,1186.23,01-02-2011 13:26,31-01-2011 09:48
21071,183,1378.92,01-03-2011 14:14,31-10-2011 14:41
21078,319,2540.39,01-02-2011 11:31,31-08-2011 11:06
21080,1015,11304.91,01-02-2011 10:14,31-10-2011 14:41
21082,26,143.44,01-03-2011 09:55,31-05-2011 14:58
21084,185,768.58,01-02-2011 15:12,31-05-2011 15:53
21086,439,4861.9,01-03-2011 09:35,31-10-2011 14:41
21087,18,74.57,01-03-2011 09:35,29-03-2011 12:31
21088,104,426,01-05-2011 13:18,31-10-2011 14:09
21089,26,48.99,01-06-2011 12:46,27-02-2011 14:07
21090,224,1264.19,01-02-2011 15:12,31-10-2011 14:41
21094,532,6933.26,01-02-2011 11:40,31-10-2011 14:41
21095,16,118.73,01-03-2011 09:35,30-03-2011 15:49
21096,105,581.09,01-04-2011 09:19,31-10-2011 14:09
21098,275,5051.85,01-06-2011 17:18,31-01-2011 09:09
21100,28,162.21,01-02-2011 11:31,31-01-2011 09:50
21106,54,702.51,01-12-2010 12:51,31-03-2011 16:43
21107,101,2501.56,01-02-2011 10:56,31-10-2011 14:41
21108,270,11477.86,01-03-2011 16:22,31-10-2011 15:30
21109,118,2765.15,01-12-2010 17:06,29-11-2011 15:08
21110,138,3808.95,01-09-2011 16:16,31-05-2011 14:14
21111,96,1652.27,01-07-2011 11:20,31-01-2011 16:47
21112,82,2885.13,01-09-2011 16:16,31-10-2011 14:09
21114,144,1796.83,01-02-2011 15:12,31-07-2011 14:39
21115,166,3174.84,01-03-2011 09:33,31-10-2011 13:58
21116,260,4051.79,01-05-2011 13:45,31-10-2011 14:41
21117,17,149.25,05-05-2011 08:18,31-07-2011 11:45
21120,2,16.98,03-05-2011 11:24,09-12-2010 14:09
21121,392,7913.85,01-02-2011 09:36,31-10-2011 16:24
21122,358,6434.79,01-02-2011 09:36,31-08-2011 13:31
21123,160,1353.34,01-02-2011 10:38,31-10-2011 14:41
21124,249,4806.8,01-02-2011 09:36,31-08-2011 13:31
21125,109,832.23,01-03-2011 11:02,31-10-2011 14:41
21126,128,750.2,01-03-2011 11:02,31-10-2011 14:41
21128,36,546.6,01-04-2011 10:27,30-08-2011 12:10
21129,28,405.62,02-09-2011 09:38,31-10-2011 14:09
21131,28,398.02,01-06-2011 17:28,31-10-2011 14:41
21132,22,217.36,04-03-2011 14:28,30-10-2011 15:55
21134,1,0,01-12-2010 14:32,01-12-2010 14:32
21135,189,3078.97,01-04-2011 13:20,31-08-2011 15:35
21136,383,7815.11,01-02-2011 13:36,31-07-2011 14:39
21137,385,40596.96,01-02-2011 13:26,31-10-2011 09:48
21143,44,705.28,01-12-2010 13:54,25-03-2011 11:31
21144,4,12.24,05-01-2011 12:02,23-05-2011 15:28
21145,10,152.5,03-07-2011 13:12,29-06-2011 13:41
21147,81,415.77,01-12-2010 14:32,31-10-2011 14:41
21154,463,6094.76,01-02-2011 10:38,31-10-2011 14:41
21155,506,8790.8,01-02-2011 10:56,31-10-2011 14:41
21156,369,6017,01-02-2011 09:36,31-10-2011 14:19
21157,35,227.6,02-12-2010 18:08,31-01-2011 09:48
21158,180,774.46,01-08-2011 11:57,31-10-2011 14:41
21159,126,602.18,01-02-2011 13:25,31-07-2011 10:59
21160,2,3.36,06-04-2011 17:30,14-12-2010 15:52
21161,49,231.37,02-12-2010 11:41,31-05-2011 15:26
21162,165,794.15,01-08-2011 11:57,31-07-2011 11:45
21163,138,683.37,01-02-2011 13:25,31-05-2011 13:17
21164,287,5144.18,01-02-2011 13:25,31-10-2011 14:41
21165,460,6918.8,01-02-2011 10:38,31-10-2011 14:41
21166,746,20796.54,01-02-2011 08:31,31-10-2011 14:41
21167,68,326.64,02-08-2011 16:11,31-01-2011 15:27
21169,470,7291.14,01-02-2011 10:56,31-10-2011 14:21
21171,74,613.14,01-03-2011 11:30,31-01-2011 12:14
21172,484,5327.03,01-03-2011 14:14,31-10-2011 14:41
21174,550,9413.82,01-02-2011 13:47,31-10-2011 14:41
21175,826,23298.74,01-02-2011 09:38,31-10-2011 14:41
21179,277,1310.75,01-02-2011 11:31,31-08-2011 17:11
21181,882,25120.88,01-02-2011 08:31,31-10-2011 15:24
21186,2,6.72,09-12-2010 15:56,14-12-2010 15:52
21187,51,651.75,01-06-2011 15:12,31-03-2011 12:43
21188,51,1021.9,01-06-2011 17:30,31-05-2011 10:43
21189,73,888.67,01-06-2011 17:30,30-11-2011 15:13
21190,10,172.7,01-12-2010 12:31,29-03-2011 10:52
21191,95,1451.82,01-06-2011 15:12,31-01-2011 12:14
21192,94,1924.94,01-06-2011 15:12,31-10-2011 16:07
21194,70,551.57,01-07-2011 15:35,31-05-2011 15:53
21195,83,1308.56,01-12-2010 14:32,31-03-2011 16:28
21196,14,189.68,06-05-2011 16:01,28-03-2011 15:45
21197,28,348.31,01-04-2011 13:47,31-10-2011 14:41
21198,74,948.71,02-02-2011 15:48,31-01-2011 12:14
21199,80,868.17,01-02-2011 15:12,30-06-2011 15:56
21200,75,1531.14,01-08-2011 16:07,31-07-2011 15:31
21201,106,2985.27,01-11-2011 11:38,31-03-2011 16:28
21202,26,487.11,02-06-2011 19:50,31-07-2011 15:22
21204,85,868.44,01-05-2011 11:55,31-01-2011 14:53
21205,75,626.19,01-05-2011 11:55,31-01-2011 14:53
21206,112,1607.62,01-07-2011 11:19,31-08-2011 09:11
21207,134,1686.5,01-03-2011 10:31,31-07-2011 15:31
21208,89,681.78,01-07-2011 15:35,31-05-2011 15:53
21209,94,877.91,01-07-2011 15:35,31-05-2011 15:53
21210,463,8200.54,01-02-2011 11:51,31-10-2011 14:41
21211,105,1271.52,01-04-2011 11:34,31-01-2011 10:31
21212,1385,21059.72,01-02-2011 09:36,31-10-2011 14:41
21213,678,8392.04,01-02-2011 11:21,31-10-2011 14:41
21215,128,745.45,01-02-2011 15:12,31-08-2011 15:32
21216,449,11329.06,01-02-2011 10:56,31-10-2011 15:24
21217,352,11442.84,01-02-2011 10:38,31-10-2011 15:48
21218,409,9951.24,01-02-2011 08:23,31-10-2011 15:48
21219,90,561.84,01-08-2011 16:07,31-10-2011 14:09
21220,90,457.51,01-11-2011 10:12,31-10-2011 14:41
21221,54,340.22,01-02-2011 11:08,31-10-2011 14:41
21222,76,353.19,01-07-2011 12:33,31-10-2011 14:09
21224,169,1065,01-02-2011 11:08,31-10-2011 14:41
21226,21,81.8,04-07-2011 10:17,30-06-2011 15:56
21228,3,6.25,08-02-2011 10:32,29-03-2011 10:18
21231,543,7440.45,01-02-2011 10:47,31-10-2011 14:41
21232,904,15820.55,01-02-2011 08:31,31-10-2011 15:36
21238,400,3445.22,01-02-2011 12:27,31-10-2011 14:09
21239,313,2691.19,01-02-2011 10:38,31-10-2011 10:17
21240,334,3082.47,01-02-2011 12:27,31-10-2011 10:17
21242,311,5645.63,01-02-2011 12:27,31-10-2011 14:41
21243,212,3813.64,01-02-2011 10:38,31-05-2011 14:58
21244,202,3763.97,01-02-2011 11:08,31-05-2011 14:58
21245,131,1792.27,01-02-2011 11:08,31-03-2011 16:28
21246,100,1326.88,01-03-2011 09:35,31-05-2011 15:53
21248,68,329.27,01-08-2011 11:57,31-10-2011 14:41
21249,119,2160,01-03-2011 09:33,31-10-2011 16:02
21250,20,274.37,03-12-2010 12:24,31-01-2011 09:09
21251,46,568.98,01-03-2011 12:26,30-11-2011 15:13
21253,63,593.37,01-03-2011 14:14,30-08-2011 10:31
21257,270,6820.97,01-02-2011 08:31,31-10-2011 15:24
21258,185,6995.05,01-04-2011 10:43,31-10-2011 14:41
21259,296,7014.75,01-02-2011 08:31,31-10-2011 13:48
21260,170,3582.48,01-02-2011 11:51,31-10-2011 14:41
21261,45,672.09,01-11-2011 15:40,31-08-2011 17:16
21262,83,1185.31,01-11-2011 14:29,31-03-2011 16:43
21263,46,353.07,01-11-2011 14:29,31-10-2011 13:11
21264,51,559.95,01-11-2011 14:29,29-09-2011 16:44
21265,19,267.21,02-12-2011 12:52,31-10-2011 12:25
21268,1,0.84,02-12-2010 15:46,02-12-2010 15:46
21269,20,254.98,03-05-2011 11:12,28-08-2011 14:39
21270,36,530.19,02-08-2011 14:00,31-03-2011 13:14
21272,114,781.32,01-02-2011 11:20,31-08-2011 12:44
21274,1,0,05-04-2011 14:37,05-04-2011 14:37
21275,17,193.33,03-12-2010 16:50,27-07-2011 13:54
21277,24,527.53,01-04-2011 11:22,30-03-2011 17:09
21278,11,109.65,05-04-2011 14:36,31-03-2011 17:17
21279,31,258.5,01-12-2010 17:06,31-03-2011 17:17
21280,12,165.75,04-05-2011 08:40,31-03-2011 17:17
21281,15,129.63,01-12-2010 17:06,30-01-2011 14:13
21282,1,0,28-01-2011 14:46,28-01-2011 14:46
21283,1,0,29-03-2011 12:17,29-03-2011 12:17
21284,45,345.82,01-09-2011 11:33,30-08-2011 10:36
21285,44,398.28,01-03-2011 09:33,31-10-2011 09:35
21286,30,362.12,02-12-2011 15:39,30-11-2011 14:38
21287,55,760.15,01-04-2011 09:19,30-11-2011 17:37
21288,114,1009.06,01-09-2011 19:34,31-10-2011 14:41
21289,51,683.75,02-09-2011 09:34,30-08-2011 12:02
21291,52,819.64,01-03-2011 16:22,30-08-2011 12:43
21292,28,594.51,01-09-2011 19:34,31-07-2011 14:17
21293,25,276.72,01-03-2011 17:28,30-11-2011 15:13
21294,76,825.49,01-02-2011 15:12,30-01-2011 15:48
21306,47,185.71,01-03-2011 17:28,31-08-2011 09:23
21307,13,39.2,04-07-2011 16:35,29-05-2011 14:18
21310,1,29.95,24-05-2011 13:22,24-05-2011 13:22
21311,59,181.04,01-09-2011 17:09,31-08-2011 15:30
21313,226,2882.9,01-02-2011 10:47,31-10-2011 14:41
21314,585,9541.43,01-02-2011 10:15,31-10-2011 14:41
21316,18,214.73,06-04-2011 10:07,30-03-2011 16:34
21317,37,684.58,02-12-2011 12:52,30-11-2011 17:37
21318,57,408.37,01-02-2011 10:22,30-03-2011 12:02
